country,primary,secondary,tertiary,quaternary,logo,flag,nickname
algeria,,,,,logos/algeria_logo.svg,flags/algeria_flag.svg,
argentina,#7fafd7,#ffffff,,,logos/argentina_logo.png,flags/argentina_flag.svg,Los Pumas
australia,#f0af00,#1c6648,#ffbb00,#004044,logos/australia_logo.svg,flags/australia_flag.svg,Wallabies
austria,,,,,logos/austria_logo.svg,flags/austria_flag.svg,
brazil,,,,,logos/brazil_logo.svg,flags/brazil_flag.svg,
cambodia,,,,,logos/cambodia_logo.svg,flags/cambodia_flag.svg,
canada,#f00000,#ffffff,#000000,#e82042,logos/canada_logo.svg,flags/canada_flag.svg,
chile,,,,,logos/chile_logo.svg,flags/chile_flag.svg,
england,#ffffff,#e52e33,,,logos/england_logo.svg,flags/england_flag.svg,
fiji,#ffffff,#000000,,,logos/fiji_logo.svg,flags/fiji_flag.svg,
france,#0000c0,#de0023,#ffffff,#003b7c,logos/france_logo.svg,flags/france_flag.svg,
georgia,#761f3c,#dfaf37,#ffffff,#000000,logos/georgia_logo.svg,flags/georgia_flag.svg,Lelos
germany,,,,,logos/germany_logo.svg,flags/germany_flag.svg,
greece,,,,,logos/greece_logo.svg,flags/greece_flag.svg,
hong kong,,,,,logos/hong_kong_logo.svg,flags/hong_kong_flag.svg,
iceland,,,,,logos/iceland_logo.svg,flags/iceland_flag.svg,
ireland,#006946,#ffffff,,,logos/ireland_logo.svg,flags/ireland_flag.svg,
italy,#0c54b4,#ffffff,#156c43,#f6272d,logos/italy_logo.svg,flags/italy_flag.svg,
ivory coast,#e26313,#2a6350,#ffffff,,logos/ivory_coast_logo.svg,flags/ivory_coast_flag.svg,
japan,#ffffff,#d43d39,,,logos/japan_logo.svg,flags/japan_flag.svg,
kenya,,,,,logos/kenya_logo.svg,flags/kenya_flag.svg,
malawi,,,,,logos/malawi_logo.svg,flags/malawi_flag.svg,
mexico,,,,,logos/mexico_logo.svg,flags/mexico_flag.svg,
moldova,,,,,logos/moldova_logo.svg,flags/moldova_flag.svg,
namibia,#3e6ecd,#d26657,#70a26c,#ffffff,logos/namibia_logo.svg,flags/namibia_flag.svg,
netherlands,,,,,logos/netherlands_logo.svg,flags/netherlands_flag.svg,
neutral,#666666,#cccccc,,,logos/neutral_logo.svg,flags/neutral_flag.svg,
new zealand,#000000,#ffffff,,,logos/new_zealand_logo.svg,flags/new_zealand_flag.svg,All Blacks
poland,,,,,logos/poland_logo.svg,flags/poland_flag.svg,
portugal,#ff0000,#006200,#ffffff,,logos/portugal_logo.svg,flags/portugal_flag.svg,
romania,#ffd316,#002b7f,#ce1126,,logos/romania_logo.svg,flags/romania_flag.svg,
russia,#da291c,#0033a0,#ffffff,,logos/russia_logo.svg,flags/russia_flag.svg,
samoa,#1068ea,#fa1901,#ffffff,,logos/samoa_logo.svg,flags/samoa_flag.svg,
scotland,#3a3450,#ffffff,#694b7f,#2a5e62,logos/scotland_logo.svg,flags/scotland_flag.svg,
singapore,,,,,logos/singapore_logo.svg,flags/singapore_flag.svg,
south africa,#3b583b,#ffb302,,,logos/south_africa_logo.svg,flags/south_africa_flag.svg,Springboks
spain,#fa1100,#fedd04,#074193,,logos/spain_logo.svg,flags/spain_flag.svg,
sweden,,,,,logos/sweden_logo.svg,flags/sweden_flag.svg,
switzerland,,,,,logos/switzerland_logo.svg,flags/switzerland_flag.svg,
tanzania,,,,,logos/tanzania_logo.svg,flags/tanzania_flag.svg,
thailand,,,,,logos/thailand_logo.svg,flags/thailand_flag.svg,
tonga,#c92334,#ffffff,,,logos/tonga_logo.svg,flags/tonga_flag.svg,
ukraine,,,,,logos/ukraine_logo.svg,flags/ukraine_flag.svg,
united states,#2a385c,#ed3c2f,#ffffff,,logos/united_states_logo.svg,flags/united_states_flag.svg,
unknown,#666666,#cccccc,,,logos/unknown_logo.svg,flags/unknown_flag.svg,
uruguay,#3692e9,#ffffff,#fbe068,,logos/uruguay_logo.svg,flags/uruguay_flag.svg,
usa,,,,,logos/united_states_logo.svg,flags/united_states_flag.svg,
wales,#f33728,#00882d,#ffffff,,logos/wales_logo.svg,flags/wales_flag.svg,
western samoa,#1068ea,#fa1901,#ffffff,,logos/western_samoa_logo.svg,flags/western_samoa_flag.svg,
zimbabwe,#226825,#ffffff,#000000,,logos/zimbabwe_logo.svg,flags/zimbabwe_flag.svg,
